id,nombre_esp,nombre_eng,nombre_lat,mapa,titulo,habitat,sabias que,migracion,dimorfismo,tamaño,orden,especie,url_imagen,url_ave
76-buteo-albigula,Aguilucho Chico,White-throated Hawk,Buteo albigula,https://aves.ninjas.cl/api/site/assets/files/3100/map.svg,Entre la Región de Valparaíso y la Región de Aysén,"Se le puede observar solitario o en parejas volando ágilmente en los bosques de Nothofagus (robles, coigües, peumos y Araucarias, pero vuela en zonas abiertas y montañosas. Su rango de distribución en Chile va desde la región de Atacama hasta Aysén desde la costa hasta los 2.000 msnm. El aguilucho chico también habita en el sur de Argentina. En otoño estas aves migran a otras zonas de Latinoamérica como Perú, Bolivia, Ecuador, Colombia y Venezuela. Su nido lo fabrica con ramas, musgos y líquenes en el cual coloca hasta entre uno a dos huevos blancos.",El Aguilucho chico es el único rapaz que se reproduce en el sur de Sudamérica y realiza migraciones trans-hemisféricas durante el invierno austral. La incubación de los huevos dura alrededor de un mes y es efectuada por ambos padres.,True,False,38 - 48 cm.,Accipitriformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3099/17082018024245aguilucho_chico_tomas_rivas_web.jpg,https://aves.ninjas.cl/api/birds/76-buteo-albigula
46-lophonetta-specularioides,Pato Juarjual,Crested Duck,Lophonetta specularioides,https://aves.ninjas.cl/api/site/assets/files/3103/map.svg,Entre la Región de Tarapacá y la Región de Magallanes,"Podemos observarlos en parejas o grupos en orillas de lagos y humedales. El pato juarjual es residente en Chile desde Arica hasta cabo de Hornos. También habita en otros territorios de Latinoamérica como Perú, Bolivia, Argentina e Islas Malvinas. Esta ave construye su nido en el suelo oculto entre la vegetación cerca del agua, en donde coloca incuba entre cinco y ocho huevos color crema.","Existe una raza de pato juarjual, llamada “altícola” que habita en el norte de Chile, es de mayor tamaño, tiene los ojos anaranjados, el penacho de la nuca es más pequeño y nidifica en los bofedales.",False,False,51 - 61 cm.,Anseriformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3102/18082018072023pato_juarjual_pedro_valencia_web.jpg,https://aves.ninjas.cl/api/birds/46-lophonetta-specularioides
33-coscoroba-coscoroba,Cisne Coscoroba,Coscoroba Swan,Coscoroba coscoroba,https://aves.ninjas.cl/api/site/assets/files/3106/map.svg,Entre la Región de Los Lagos y la Región de Magallanes,"El Cisne Coscoroba, se distribuye principalmente en el territorio austral de Chile; desde la Región de Los Lagos hasta Cabo de Hornos, Región de Magallanes y la Antártica Chilena. En invierno  se desplaza al norte, llegando hasta la Región de Valparaíso, ocasionalmente hasta Huasco (Región de Atacama). Estas aves se pueden observar en pequeños grupos o en parejas, principalmente en la época reproductiva. Frecuenta una gran variedad de ambientes acuáticos, por lo que se les observa en lagos, lagunas, zonas pantanosas en general, donde comparten con otras aves como canquenes, cisnes de cuello negro, entre otros. Anida entre vegetación emergente, de preferencia sobre islas de vegetación flotante. Su postura varía de 4-6 huevos de color blanco sucio.","“Coscoroba” es de una onomatopeya, la cual proviene del canto emitido por las hembras, generalmente con motivo de alerta.",False,False,90 - 115 cm.,Anseriformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3105/17082018103640cisne_coscoroba_alejandro_labranque_3_web.jpg,https://aves.ninjas.cl/api/birds/33-coscoroba-coscoroba
117-leucophaeus-scoresbii,Gaviota  Austral,Dolphin Gull,Leucophaeus scoresbii,https://aves.ninjas.cl/api/site/assets/files/3110/map.svg,Entre la Región del Biobío y la Región de Magallanes,"Podemos observarla solitaria o en bandadas, exclusivamente en ambientes  playeros y costeros continentales y en islas.  La gaviota austral es residente en Chile desde la isla Mocha hasta Tierra del Fuego. Estas aves también habitan en  algunas zonas geográficas de Argentina e Islas Malvinas, siendo endémicas del cono sur de Latinoamérica. Construyen su nido en las islas junto a otras colonias de aves. Incuba entre dos a tres huevos grisáceos con manchas oscuras.",Su apellido científico “scoresbii” le fue dado en honor al naturalista y explorador Inglés William Scoresby.,False,False,40 - 46 cm.,Charadriiformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3109/13082018073638gaviota_austral_paula_de_marco_web.jpg,https://aves.ninjas.cl/api/birds/117-leucophaeus-scoresbii
1-nothoprocta-perdicaria,Perdiz chilena,Chilean Tinamou,Nothoprocta perdicaria,https://aves.ninjas.cl/api/site/assets/files/3112/map.svg,Entre la Región de Atacama y la Región de Los Lagos,"Estas aves se mimetizan excelente en el ambiente y se pueden observar solitarias o en parejas desde la Región de Atacama hasta la Región de Los Lagos, incluyendo Rapa nui, donde es una especie introducida. Es especie endémica, es decir, sólo se encuentra en nuestro país. Suelen frecuentar zonas de pastizales, matorrales, arbustos bajos, cultivos, laderas, areas semi áridas aunque también se pueden observar en zonas más urbanas como caminos y carreteras. Estas aves nidifican en el suelo, en donde más de una hembra puede poner el nido. Colocan entre 5 a 9 huevos de color chocolate brillante.","Es la Perdiz más común en nuestro país. Es un ave muy esquiva, que corre para ocultarse entre la vegetación y se logra camuflar perfectamente.",False,False,29 - 32 cm.,Tinamiformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3111/18082018074355perdiz_chilena_pedro_valencia_web.jpg,https://aves.ninjas.cl/api/birds/1-nothoprocta-perdicaria
137-bubo-magellanicus,Tucúquere,Magellanic Horned Owl,Bubo magellanicus,https://aves.ninjas.cl/api/site/assets/files/3116/map.svg,Entre la Región de Arica y Parinacota y la Región de Magallanes,"Esta especie se distribuye en Chile desde la Región de Arica y Parinacota hasta la Región de Magallanes. Se distribuye desde Canadá y Alaska hasta el sur de Sudamérica.Habita en bosques no muy densos, en quebradas cordilleranas, en laderas de cerro y estepas. Nidifica en altos árboles, quebradas o entre arbustos en el suelo.","Puede ser muy agresivo con otras aves nocturnas.Es bullicioso y emite un sonido característico en el atardecer y durante la noche. Puede permanecer inmóvil durante largos períodos durante el día.Existe una diversidad de nombres en mapuzugun para el Tucúquere, uno de ellos es Tukuu, descrito por Lorenzo Aillapán. Asimismo, uno de sus nombres en yagan es Yohutela, según la hablante Cristina Calderón.",False,False,45 cm.,Strigiformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3115/13082018100708tucuquere_camilo_maldonado_marin_web.jpg,https://aves.ninjas.cl/api/birds/137-bubo-magellanicus
116-larus-dominicanus,Gaviota Dominicana,Kelp Gull,Larus dominicanus,https://aves.ninjas.cl/api/site/assets/files/3119/map.svg,Entre la Región de Arica y Parinacota y la Región de Magallanes,"Especie de amplia distribución por las costas del continente americano, registrándose por el norte hasta Ecuador y sur de Brasil. A su vez, es una especie circumpolar en islas del Indico, Atlántico y Pacifico Sur. En nuestro país, la gaviota dominicana es un residente común de las costas, humedales y cuerpos de agua dulce del interior, y ocasional de zonas urbanas desde la Región de Arica y Parinacota hasta la Región de Magallanes, entre el nivel del mar hasta los 1.000 m.s.n.m.  Por su parte, la subespecie dominicanus es un residente anual muy común lo largo de toda la costa Chilena hasta las islas Diego Ramírez, visitante ocasional del Archipielago de Juan Fernández, y accidental en la Isla de Pascua. En el caso de la subespecie austrinus, se define como es un residente anual común de las islas Shetland del Sur y Península Antártica.","En nuestro país a la gaviota dominicana se le conoce comúnmente como “gaviota”. Por su parte, se le reconoce como ""gaviota cocinera"" en Uruguay y Argentina, y como “gaviotao” en Brasil. Esta ave debuto en sociedad en 1823, gracias al registro realizado por explorador, naturalista y zoólogo alemán, Martin Lichtenstein. Un dato curioso de estas aves, es que para alimentarse de un bivalvo, especialmente en el sur de Chile, vuela con su alimento hasta unos 10 metros de altura, lanzándolo al suelo para quebrar su concha y poder comerloPor cierto, los mapuche la reconocen como “CauCau”. Además, la consideran, al igual que muchas otras aves, como una metamorfosis de la “Voladora” o bruja que lleva los mensajes a través de las aves.",False,False,54 - 65 cm.,Charadriiformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3118/04082018091522gaviota_dominicana_leslie_brackenridge_b.jpg,https://aves.ninjas.cl/api/birds/116-larus-dominicanus
91-himantopus-melanurus,Perrito,Black-necked Stilt,Himantopus melanurus,https://aves.ninjas.cl/api/site/assets/files/3122/map.svg,Entre la Región de Atacama y la Región de Los Ríos,"Los perritos son residentes de varias partes en el mundo. La población de América del Norte migra frecuentemente, sin embargo, la población de Sudamérica es más sedentaria.  Dado que es un ave limícola, es decir, que vive en el lodo, se alimenta de insectos acuáticos en las zonas húmedas como pantanos, bordes de lagunas, estuarios, campos inundados y humedales. En Chile, el perrito se puede observar en grandes bandadas entre Huasco y LLanquihue. Confecciona su nido en aguas poco profundas y pone entre tres a cuatro huevos de color pardo claro con manchitas oscuras.","Curiosamente a este tipo de aves se les denomina “zancudas”, ya que poseen las patas muy largas, al igual que zancos.",False,False,40 - 44 cm.,Charadriiformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3121/18082018075423perrito_pedro_valencia_web.jpg,https://aves.ninjas.cl/api/birds/91-himantopus-melanurus
98-haematopus-palliatus,Pilpilén,American Oystercatcher,Haematopus palliatus,https://aves.ninjas.cl/api/site/assets/files/3125/map.svg,Entre la Región de Arica y Parinacota y la Región de Magallanes,"Especie de amplia distribución en las costas de Americano, registrándose desde Estados Unidos hacia el sur. En nuestro país, es un residente habitual y constante del sector costero, principalmente de playas, dunas e islotes, dispuesto desde Arica a Chiloé. En cambio, desde el sur de Chiloé hasta el Estrecho de Magallanes, el pilpilén disminuye su presencia en los sectores costeros de dichas localidades.","En nuestro país, esta ave es reconocida comúnmente como “ostrero”, “ostrero pio” o “cazador de ostras”, debido a su facilidad de abrir las conchas con su pico. Por su parte,  en la mayoría del continente se le conoce como “ostrero” o “Cazaostra”, no obstante, es importante destacar que en Brasil y Paraguay es reconocido como “Piru Piru” Por su parte, su debut en la sociedad científica a nivel mundial fue en 1826 de la mano del naturalista francés Prosper Garnot. Un dato interesante sobre esta especie, es que el macho para reconocer a la hembra en etapa de cortejo debe observar y captar una leve diferencia en la zona del iris del ojo de la hembras, presentando una pequeñísima mancha pigmentada de diferencia entre ambos sexos. Sin duda, este es un pájaro significativo para las comunidades del sector costero. Por ejemplo, el poeta mapuche Lorenzo Aillapan, Üñümche señala que el pilpilén es quien recibe y da la cálida bienvenida a la playa a los visitantes, invitándoles a recorrer y conocer su hogar. Es más, el poeta menciona que esta ave es quien da la aprobación y el permiso para permanecer en la playa a un visitante de la playa. En algunos sectores costeros de la Región de Coquimbo, el pilpilén es reconocido como el patrón y soberano de las amplias playas de dicha región. A su vez, para ciertas personas de la costa serenense la presencia o no de esta especie representa las transformaciones de una playa. Finalmente, este icono de la costa figura como protagonista e inspiración de versos, cuentos y relatos locales. Por ejemplo, el poeta Pablo Neruda hace referencia a esta especie en su poema “Canto General”. A su vez, diversos cuentos de educación ambiental ocupan al Pilpilén como un personaje frecuente del área costera como es el caso del libro “Cuentos infantiles de biodiversidad” de Paloma Núñez. Y, ¿Cuál es tu historia con este amante de las playas?",False,False,40 - 44 cm.,Charadriiformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3124/06082018101359pilpilen_leslie_brackenridge_b.jpg,https://aves.ninjas.cl/api/birds/98-haematopus-palliatus
106-limosa-haemastica,Zarapito de pico recto,Hudsonian Godwit,Limosa haemastica,https://aves.ninjas.cl/api/site/assets/files/3127/map.svg,Entre la Región de Arica y Parinacota y la Región de Magallanes,"Estas delicadas aves se pueden observar en grupos desde la Región de Arica y Parinacota hasta la Región de Magallanes. Es un ave migratoria, que llega al país en primavera verano. Suelen frecuentar playas, costas, estuarios y tambien lagunas o lagos poco profundos. Estas aves no nidifican en Chile, lo hacen en el Hemisferio norte, en la tundra ártica.","Es una de las aves que tiene la migración más larga, viajando directamente desde Canadá, unos 16.000 kms. aproximadamente.",True,False,36 - 42 cm.,Charadriiformes,Nativa,https://aves.ninjas.cl/api/site/assets/files/3126/13082018101547zarapito_pico_recto_leslie_brackenridge_web.jpg,https://aves.ninjas.cl/api/birds/106-limosa-haemastica
